MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
4,25,6,SLC,SEA,-20.0,12.0,689,0,2015
4,12,7,LGA,CLE,-3.0,40.0,419,0,2015
4,18,6,DFW,LCH,201.0,25.0,295,1,2015
4,13,1,BOS,BWI,23.0,17.0,369,0,2015
4,21,2,DFW,GJT,8.0,9.0,773,0,2015
4,21,2,ONT,SFO,-8.0,21.0,363,0,2015
4,6,1,TUL,DFW,-7.0,10.0,237,0,2015
4,27,1,MIA,SLC,1.0,20.0,2088,1,2015
4,15,3,SLC,DTW,31.0,22.0,1481,1,2015
4,28,2,DEN,MSP,-5.0,5.0,680,0,2015
4,15,3,PHL,CLT,-6.0,18.0,449,0,2015
4,16,4,ROC,CLT,-5.0,19.0,573,0,2015
4,24,5,MCO,SEA,28.0,16.0,2554,1,2015
4,22,3,ORD,SLC,-5.0,13.0,1250,0,2015
4,13,1,LGA,BOS,12.0,17.0,184,0,2015
4,17,5,SFO,OKC,-5.0,24.0,1384,0,2015
4,11,6,MDW,DEN,27.0,6.0,895,0,2015
4,1,3,TUS,DFW,-7.0,9.0,813,0,2015
4,5,7,ATL,LAS,-2.0,13.0,1747,0,2015
4,10,5,DFW,BNA,22.0,13.0,631,1,2015
4,29,3,BWI,FLL,7.0,11.0,925,1,2015
4,25,6,IAH,DCA,63.0,17.0,1208,1,2015
4,25,6,TUS,SFO,39.0,19.0,751,1,2015
4,20,1,CLT,LAS,-3.0,20.0,1916,0,2015
4,12,7,ROC,CLT,-7.0,13.0,573,0,2015
4,13,1,LGA,ORD,-6.0,18.0,733,0,2015
4,2,4,LGA,FLL,-1.0,19.0,1076,0,2015
4,28,2,SFO,PSP,-3.0,24.0,421,0,2015
4,24,5,ATL,ORD,-4.0,10.0,606,0,2015
4,20,1,SLC,PIH,-5.0,12.0,150,0,2015
4,30,4,LAX,EWR,-4.0,9.0,2454,0,2015
4,15,3,IAH,ELP,-5.0,11.0,667,0,2015
4,24,5,BOS,DCA,15.0,31.0,399,1,2015
4,22,3,SRQ,JFK,17.0,12.0,1041,0,2015
4,5,7,SJC,DEN,17.0,13.0,948,0,2015
4,7,2,DFW,PDX,-3.0,21.0,1616,0,2015
4,18,6,LAX,ORD,-10.0,21.0,1744,0,2015
4,19,7,DAL,LGA,1.0,8.0,1381,0,2015
4,17,5,ORD,SYR,55.0,16.0,607,1,2015
4,21,2,DEN,SEA,0.0,13.0,1024,0,2015
4,7,2,PBI,BWI,-3.0,12.0,883,0,2015
4,13,1,MSY,DAL,2.0,30.0,436,1,2015
4,16,4,ANC,PHX,-6.0,14.0,2552,0,2015
4,15,3,SFO,SMF,-5.0,37.0,86,0,2015
4,9,4,HPN,MCO,5.0,12.0,972,0,2015
4,26,7,DFW,MCI,-6.0,13.0,460,0,2015
